"X","Y","site"
2.425,43.125,1
2.475,43.125,2
2.525,43.125,3
2.575,43.125,4
2.625,43.125,5
2.675,43.125,6
2.725,43.125,7
2.775,43.125,8
2.825,43.125,9
2.875,43.125,10
2.925,43.125,11
2.975,43.125,12
3.025,43.125,13
3.075,43.125,14
3.125,43.125,15
2.425,43.175,16
2.475,43.175,17
2.525,43.175,18
2.575,43.175,19
2.625,43.175,20
2.675,43.175,21
2.725,43.175,22
2.775,43.175,23
2.825,43.175,24
2.875,43.175,25
2.925,43.175,26
2.975,43.175,27
3.025,43.175,28
3.075,43.175,29
3.125,43.175,30
3.175,43.175,31
2.425,43.225,32
2.475,43.225,33
2.525,43.225,34
2.575,43.225,35
2.625,43.225,36
2.675,43.225,37
2.725,43.225,38
2.775,43.225,39
2.825,43.225,40
2.875,43.225,41
2.925,43.225,42
2.975,43.225,43
3.025,43.225,44
3.075,43.225,45
3.125,43.225,46
3.175,43.225,47
3.225,43.225,48
2.425,43.275,49
2.475,43.275,50
2.525,43.275,51
2.575,43.275,52
2.625,43.275,53
2.675,43.275,54
2.725,43.275,55
2.775,43.275,56
2.825,43.275,57
2.875,43.275,58
2.925,43.275,59
2.975,43.275,60
3.025,43.275,61
3.075,43.275,62
3.125,43.275,63
3.175,43.275,64
3.225,43.275,65
3.275,43.275,66
3.325,43.275,67
2.425,43.325,68
2.475,43.325,69
2.525,43.325,70
2.575,43.325,71
2.625,43.325,72
2.675,43.325,73
2.725,43.325,74
2.775,43.325,75
2.825,43.325,76
2.875,43.325,77
2.925,43.325,78
2.975,43.325,79
3.025,43.325,80
3.075,43.325,81
3.125,43.325,82
3.175,43.325,83
3.225,43.325,84
3.275,43.325,85
3.325,43.325,86
3.375,43.325,87
3.425,43.325,88
3.475,43.325,89
3.525,43.325,90
2.425,43.375,91
2.475,43.375,92
2.525,43.375,93
2.575,43.375,94
2.625,43.375,95
2.675,43.375,96
2.725,43.375,97
2.775,43.375,98
2.825,43.375,99
2.875,43.375,100
2.925,43.375,101
2.975,43.375,102
3.025,43.375,103
3.075,43.375,104
3.125,43.375,105
3.175,43.375,106
3.225,43.375,107
3.275,43.375,108
3.325,43.375,109
3.375,43.375,110
3.425,43.375,111
3.475,43.375,112
3.525,43.375,113
3.575,43.375,114
3.625,43.375,115
2.425,43.425,116
2.475,43.425,117
2.525,43.425,118
2.575,43.425,119
2.625,43.425,120
2.675,43.425,121
2.725,43.425,122
2.775,43.425,123
2.825,43.425,124
2.875,43.425,125
2.925,43.425,126
2.975,43.425,127
3.025,43.425,128
3.075,43.425,129
3.125,43.425,130
3.175,43.425,131
3.225,43.425,132
3.275,43.425,133
3.325,43.425,134
3.375,43.425,135
3.425,43.425,136
3.475,43.425,137
3.525,43.425,138
3.575,43.425,139
3.625,43.425,140
3.675,43.425,141
3.725,43.425,142
2.425,43.475,143
2.475,43.475,144
2.525,43.475,145
2.575,43.475,146
